Column;Caption;Articoli / Servizi[Articolo - Descrizione classe ABC (A)];Articolo - Descrizione classe ABC (A);Article - Description Class ABC (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Classe ABC (A)];Articolo - Classe ABC (A);Article - Class ABC (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Data inizio validità];Articolo - Data inizio validità;Article - Effective Date;;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Data fine validità];Articolo - Data fine validità;Article - End Date;;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Valido in data estrazione];Articolo - Valido in data estrazione;Article - Valid On Draw Date;;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Codice fornitore abituale];Articolo - Codice fornitore abituale;Item - Usual Supplier Code;;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Descrizione fornitore abituale];Articolo - Descrizione fornitore abituale;Article - Usual Supplier Description;;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Codice microfamiglia (A)];Articolo - Codice microfamiglia (A);Article - Microfamily Code (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Descrizione microfamiglia (A)];Articolo - Descrizione microfamiglia (A);Article - Microfamily Description (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Microfamiglia (A)];Articolo - Microfamiglia (A);Article - Microfamily (A);;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Categoria fiscale];Articolo - Categoria fiscale;Article - Tax Category;;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Variante];Articolo - Variante;Article - Variant;;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Descrizione variante];Articolo - Descrizione variante;Article - Variant Description;;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Descrizione articolo];Articolo - Descrizione articolo;Article - Article Description;;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo - Codice con Variante];Articolo - Codice con Variante;Article - Code With Variant;;;;;;;;;
Column;Caption;Articoli / Servizi[Articolo e variante in inglese];Articolo e variante in inglese;Article And Variant In English;;;;;;;;;
Column;Caption;Articoli / Servizi[Codice e descrizione variante in inglese];Codice e descrizione variante in inglese;Variant Code And Description In English;;;;;;;;;
Column;Caption;Articoli / Servizi[Variante in inglese];Variante in inglese;Variant In English;;;;;;;;;
Table;Caption;Clienti intestatari;Clienti intestatari;Registered Customers;;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Ditta];Cliente - Ditta;Client - Company;;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Codice];Cliente - Codice;Customer - Code;;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Descrizione];Cliente - Descrizione;Customer - Description;;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - CAP];Cliente - CAP;Customer - ZIP Code;;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Località];Cliente - Località;Customer - Location;;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Codice provincia];Cliente - Codice provincia;Customer - Province Code;;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Descrizione provincia];Cliente - Descrizione provincia;Client - Province Description;;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Codice regione];Cliente - Codice regione;Customer - Region Code;;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Descrizione regione];Cliente - Descrizione regione;Customer - Region Description;;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Codice stato];Cliente - Codice stato;Customer - Status Code;;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Descrizione stato];Cliente - Descrizione stato;Customer - Status Description;;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Codice zona (A)];Cliente - Codice zona (A);Customer - Zone Code (A);;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Descrizione zona (A)];Cliente - Descrizione zona (A);Customer - Zone Description (A);;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Codice classe contabile (A)];Cliente - Codice classe contabile (A);Customer - Account Class Code (A);;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Descrizione classe contabile (A)];Cliente - Descrizione classe contabile (A);Customer - Description Of Accounting Class (A);;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Classe contabile (A)];Cliente - Classe contabile (A);Customer - Accounting Class (A);;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Codice classe affidamento (A)];Cliente - Codice classe affidamento (A);Customer - Assignment Class Code (A);;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Descrizione classe affidamento (A)];Cliente - Descrizione classe affidamento (A);Customer - Assignment Class Description (A);;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Classe affidamento (A)];Cliente - Classe affidamento (A);Customer - Assignment Class (A);;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Codice categoria (A)];Cliente - Codice categoria (A);Customer - Class (A);;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Descrizione categoria (A)];Cliente - Descrizione categoria (A);Customer - Category Description (A);;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Categoria (A)];Cliente - Categoria (A);Customer - Category (A);;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Codice tipologia commerciale (A)];Cliente - Codice tipologia commerciale (A);Customer - Commercial Type Code (A);;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Descrizione tipologia commerciale (A)];Cliente - Descrizione tipologia commerciale (A);Customer - Description Of The Type Of Business (A);;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Tipologia commerciale (A)];Cliente - Tipologia commerciale (A);Client - Business Type (A);;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Data inizio validità];Cliente - Data inizio validità;Customer - Effective Date;;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Data fine validità];Cliente - Data fine validità;Customer - End Date;;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Valido in data estrazione];Cliente - Valido in data estrazione;Customer - Valid On Draw Date;;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Zona (A)];Cliente - Zona (A);Customer - Zone (A);;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Posizione (comune; provincia; regione; stato)];Cliente - Posizione (comune; provincia; regione; stato);Customer - Location (Municipality; Province; Region; State)
Column;Caption;Clienti intestatari[Cliente - Posizione (provincia; regione; stato)];Cliente - Posizione (provincia; regione; stato);Customer - Location (Province; Region; State);;;
Column;Caption;Clienti intestatari[Cliente - Posizione (regione; stato)];Cliente - Posizione (regione; stato);Customer - Location (Region; State);;;;;;
Column;Caption;Clienti intestatari[Cliente - Posizione (stato)];Cliente - Posizione (stato);Customer - Location (Status);;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Importo classe affidamento (A)];Cliente - Importo classe affidamento (A);Customer - Assignment Class Amount (A);;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Valuta importo classe affidamento (A)];Cliente - Valuta importo classe affidamento (A);Customer - Currency Assignment Class Amount (A);;;;;;;;;
Column;Caption;Clienti intestatari[Cliente];Cliente;Customer;;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Codice capogruppo (A)];Cliente - Codice capogruppo (A);Customer - Parent Code (A);;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Descrizione capogruppo (A)];Cliente - Descrizione capogruppo (A);Customer - Parent Company Description (A);;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Capogruppo (A)];Cliente - Capogruppo (A);Client - Parent Company (A);;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Codice listino prioritario (A)];Cliente - Codice listino prioritario (A);Customer - Priority Price List Code (A);;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Descrizione listino prioritario (A)];Cliente - Descrizione listino prioritario (A);Customer - Priority Price List Description (A);;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Categoria sconti (A)];Cliente - Categoria sconti (A);Customer - Discount Category (A);;;;;;;;;
Column;Caption;Clienti intestatari[K_CodCategScontiCliente];K_CodCategScontiCliente;K_Codcategsconticliente;;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Tipo];Cliente - Tipo;Customer - Type;;;;;;;;;
Column;Caption;Clienti intestatari[Cliente - Tipo EN];Cliente - Tipo EN;Customer - Type EN;;;;;;;;;
Hierarchy;Caption;Clienti intestatari[Cliente - Gerarchia territoriale];Cliente - Gerarchia territoriale;Customer - Territorial Hierarchy;;;;;;;;;
Level;Caption;Clienti intestatari[Cliente - Gerarchia territoriale]Cliente - Posizione (stato);Cliente - Posizione (stato);Customer - Location (Status);;;;;;;;;
Level;Caption;Clienti intestatari[Cliente - Gerarchia territoriale]Cliente - Posizione (regione; stato);Cliente - Posizione (regione; stato);Customer - Location (Region; State);;;;;;
Level;Caption;Clienti intestatari[Cliente - Gerarchia territoriale]Cliente - Posizione (provincia; regione; stato);Cliente - Posizione (provincia; regione; stato);Customer - Location (Province; Region; State);;;
Level;Caption;Clienti intestatari[Cliente - Gerarchia territoriale]Cliente - Posizione (comune; provincia; regione; stato);Cliente - Posizione (comune; provincia; regione; stato);Customer - Location (Municipality; Province; Region; State)
Table;Caption;Divisioni;Divisioni;Divisions;;;;;;;;;
Column;Caption;Divisioni[Divisione - Ditta];Divisione - Ditta;Division - Company;;;;;;;;;
Column;Caption;Divisioni[Divisione - Codice];Divisione - Codice;Division - Code;;;;;;;;;
Column;Caption;Divisioni[Divisione - Descrizione];Divisione - Descrizione;Division - Description;;;;;;;;;
Column;Caption;Divisioni[Divisione - Data inizio validità];Divisione - Data inizio validità;Division - Effective Start Date;;;;;;;;;
Column;Caption;Divisioni[Divisione - Data fine validità];Divisione - Data fine validità;Division - Effective Date;;;;;;;;;
Column;Caption;Divisioni[Divisione - Valida in data estrazione];Divisione - Valida in data estrazione;Division - Valid On Draw Date;;;;;;;;;
Table;Caption;Budget (versioni);Budget (versioni);Budget (Versions);;;;;;;;;
Column;Caption;Budget (versioni)[Budget - Ditta];Budget - Ditta;Budget - Company;;;;;;;;;
Column;Caption;Budget (versioni)[Budget - Codice];Budget - Codice;Budget - Code;;;;;;;;;
Column;Caption;Budget (versioni)[Budget - Descrizione];Budget - Descrizione;Budget - Description;;;;;;;;;
Column;Caption;Budget (versioni)[Budget - Periodo analisi Da];Budget - Periodo analisi Da;Budget - Analysis Period From;;;;;;;;;
Column;Caption;Budget (versioni)[Budget - Periodo analisi A];Budget - Periodo analisi A;Budget - Analysis Period A;;;;;;;;;
Table;Caption;Magazzini;Magazzini;Warehouses;;;;;;;;;
Column;Caption;Magazzini[Magazzino];Magazzino;Warehouse;;;;;;;;;
Column;Caption;Magazzini[Magazzino - Ditta];Magazzino - Ditta;Warehouse - Company;;;;;;;;;
Column;Caption;Magazzini[Magazzino - Codice];Magazzino - Codice;Warehouse - Code;;;;;;;;;
Column;Caption;Magazzini[Magazzino - Descrizione];Magazzino - Descrizione;Warehouse - Description;;;;;;;;;
Column;Caption;Magazzini[Magazzino - Stato];Magazzino - Stato;Warehouse - Status;;;;;;;;;
Column;Caption;Magazzini[Magazzino - Tipologia];Magazzino - Tipologia;Warehouse - Type;;;;;;;;;
Column;Caption;Magazzini[Magazzino - Tipo utilizzo];Magazzino - Tipo utilizzo;Warehouse - Usage Type;;;;;;;;;
Table;Caption;Calendario;Calendario;Calendar;;;;;;;;;
Column;Caption;Calendario[Anno];Anno;Year;;;;;;;;;
Column;Caption;Calendario[Anno/trimestre];Anno/trimestre;Year/Quarter;;;;;;;;;
Column;Caption;Calendario[Trimestre/anno];Trimestre/anno;Quarter/Year;;;;;;;;;
Column;Caption;Calendario[Settimana];Settimana;Week;;;;;;;;;
Column;Caption;Calendario[Trimestre];Trimestre;Trimester;;;;;;;;;
Column;Caption;Calendario[Settimana/anno];Settimana/anno;Week/Year;;;;;;;;;
Column;Caption;Calendario[Mese];Mese;Month;;;;;;;;;
Column;Caption;Calendario[Giorno];Giorno;Day;;;;;;;;;
Column;Caption;Calendario[Mese numero];Mese numero;Month Number;;;;;;;;;
Column;Caption;Calendario[Mese numero/anno];Mese numero/anno;Month Number/Year;;;;;;;;;
Column;Caption;Calendario[Mese/anno];Mese/anno;Month/Year;;;;;;;;;
Column;Caption;Calendario[Data];Data;Date;;;;;;;;;
Column;Caption;Calendario[Anno mobile];Anno mobile;Rolling Year;;;;;;;;;
Column;Caption;Calendario[Mese mobile];Mese mobile;Floating Month;;;;;;;;;
Column;Caption;Calendario[Mese/anno mobile];Mese/anno mobile;Rolling Month/Year;;;;;;;;;
Column;Caption;Calendario[Trimestre mobile];Trimestre mobile;Rolling Quarter;;;;;;;;;
Column;Caption;Calendario[Trimestre/anno mobile];Trimestre/anno mobile;Rolling Quarter/Year;;;;;;;;;
Column;Caption;Calendario[Anno/trimestre mobile];Anno/trimestre mobile;Rolling Year/Quarter;;;;;;;;;
Column;Caption;Calendario[Mesi trascorsi da ultima data];Mesi trascorsi da ultima data;Months Since Last Date;;;;;;;;;
Column;Caption;Calendario[Anni trascorsi da ultima data];Anni trascorsi da ultima data;Years Since Last Date;;;;;;;;;
Column;Caption;Calendario[Data futura (Sì/No)];Data futura (Sì/No);Future Date (Yes/No);;;;;;;;;
Column;Caption;Calendario[Mese-en];Mese-en;Month-En;;;;;;;;;
Column;Caption;Calendario[Mese/anno en];Mese/anno en;Month/Year En;;;;;;;;;
Column;Caption;Calendario[Giorno-en];Giorno-en;Day-En;;;;;;;;;
Table;Caption;Promozioni;Promozioni;Promotions;;;;;;;;;
Column;Caption;Promozioni[Promozione - Ditta];Promozione - Ditta;Promotion - Company;;;;;;;;;
Column;Caption;Promozioni[Promozione - Numero criterio];Promozione - Numero criterio;Promotion - Policy Number;;;;;;;;;
Column;Caption;Promozioni[Promozione - Codice];Promozione - Codice;Promotion - Code;;;;;;;;;
Column;Caption;Promozioni[Promozione - Descrizione];Promozione - Descrizione;Promotion - Description;;;;;;;;;
Column;Caption;Promozioni[Promozione - Data inizio validità];Promozione - Data inizio validità;Promotion - Effective Date;;;;;;;;;
Column;Caption;Promozioni[Promozione - Data fine validità];Promozione - Data fine validità;Promotion - End Date;;;;;;;;;
Column;Caption;Promozioni[Promozione - Valida in data estrazione];Promozione - Valida in data estrazione;Promotion - Valid On Draw Date;;;;;;;;;
Table;Caption;Agenti;Agenti;Agents;;;;;;;;;
Column;Caption;Agenti[Agente];Agente;Agent;;;;;;;;;
Column;Caption;Agenti[Agente - L1];Agente - L1;Agent - L1;;;;;;;;;
Column;Caption;Agenti[Agente - L2];Agente - L2;Agent - L2;;;;;;;;;
Column;Caption;Agenti[Agente - L3];Agente - L3;Agent - L3;;;;;;;;;
Column;Caption;Agenti[Agente - L4];Agente - L4;Agent - L4;;;;;;;;;
Column;Caption;Agenti[Agente - L5];Agente - L5;Agent - L5;;;;;;;;;
Column;Caption;Agenti[Agente - Ditta];Agente - Ditta;Agent - Company;;;;;;;;;
Column;Caption;Agenti[Agente - Codice];Agente - Codice;Agent - Code;;;;;;;;;
Column;Caption;Agenti[Agente - Descrizione];Agente - Descrizione;Agent - Description;;;;;;;;;
Column;Caption;Agenti[Agente - Capo area];Agente - Capo area;Agent - Area Manager;;;;;;;;;
Column;Caption;Agenti[Agente - Ruolo];Agente - Ruolo;Agent - Role;;;;;;;;;
Column;Caption;Agenti[Agente - Ruolo e agente];Agente - Ruolo e agente;Agent - Role And Agent;;;;;;;;;
Column;Caption;Agenti[Agente - Data inizio validità];Agente - Data inizio validità;Agent - Effective Start Date;;;;;;;;;
Column;Caption;Agenti[Agente - Data fine validità];Agente - Data fine validità;Agent - Effective Date;;;;;;;;;
Column;Caption;Agenti[Agente - Valido in data estrazione];Agente - Valido in data estrazione;Agent - Valid On Draw Date;;;;;;;;;
Column;Caption;Agenti[Agente - Desrizione Capo Area];Agente - Desrizione Capo Area;Agent - Area Manager Description;;;;;;;;;
Column;Caption;Agenti[K_Account];K_Account;K_Account;;;;;;;;;
Column;Caption;Agenti[K_Account_CA];K_Account_CA;K_Account_CA;;;;;;;;;
Hierarchy;Caption;Agenti[Agenti - Gerarchia];Agenti - Gerarchia;Agents - Hierarchy;;;;;;;;;
Level;Caption;Agenti[Agenti - Gerarchia]Agente - L1;Agente - L1;Agent - L1;;;;;;;;;
Level;Caption;Agenti[Agenti - Gerarchia]Agente - L2;Agente - L2;Agent - L2;;;;;;;;;
Level;Caption;Agenti[Agenti - Gerarchia]Agente - L3;Agente - L3;Agent - L3;;;;;;;;;
Level;Caption;Agenti[Agenti - Gerarchia]Agente - L4;Agente - L4;Agent - L4;;;;;;;;;
Level;Caption;Agenti[Agenti - Gerarchia]Agente - L5;Agente - L5;Agent - L5;;;;;;;;;
Table;Caption;Ditte;Ditte;Companies;;;;;;;;;
Column;Caption;Ditte[Ditta];Ditta;Firm;;;;;;;;;
Column;Caption;Ditte[Ditta - Codice];Ditta - Codice;Company - Code;;;;;;;;;
Column;Caption;Ditte[Ditta - Descrizione];Ditta - Descrizione;Company - Description;;;;;;;;;
Table;Caption;Categorie clienti;Categorie clienti;Customer Categories;;;;;;;;;
Column;Caption;Categorie clienti[Categoria cliente - Ditta];Categoria cliente - Ditta;Customer Category - Company;;;;;;;;;
Column;Caption;Categorie clienti[Categoria cliente - Codice];Categoria cliente - Codice;Customer Category - Code;;;;;;;;;
Column;Caption;Categorie clienti[Categoria cliente - Descrizione];Categoria cliente - Descrizione;Customer Category - Description;;;;;;;;;
Table;Caption;Classi affidamento;Classi affidamento;Assignment Classes;;;;;;;;;
Column;Caption;Classi affidamento[Classe affidamento - Codice];Classe affidamento - Codice;Assignment Class - Code;;;;;;;;;
Column;Caption;Classi affidamento[Classe affidamento - Descrizione];Classe affidamento - Descrizione;Custody Class - Description;;;;;;;;;
Column;Caption;Classi affidamento[Classe affidamento - Ditta];Classe affidamento - Ditta;Assignment Class - Company;;;;;;;;;
Column;Caption;Classi affidamento[Classe affidamento - Importo];Classe affidamento - Importo;Credit Class - Amount;;;;;;;;;
Column;Caption;Classi affidamento[Classe affidamento - Valuta importo];Classe affidamento - Valuta importo;Trust Class - Amount Currency;;;;;;;;;
Table;Caption;Famiglie;Famiglie;Families;;;;;;;;;
Column;Caption;Famiglie[Famiglia - Ditta];Famiglia - Ditta;Family - Company;;;;;;;;;
Column;Caption;Famiglie[Famiglia - Codice];Famiglia - Codice;Family - Code;;;;;;;;;
Column;Caption;Famiglie[Famiglia - Descrizione];Famiglia - Descrizione;Family - Description;;;;;;;;;
Column;Caption;Famiglie[Famiglia - Data inizio validità];Famiglia - Data inizio validità;Family - Effective Date;;;;;;;;;
Column;Caption;Famiglie[Famiglia - Data fine validità];Famiglia - Data fine validità;Family - End Date;;;;;;;;;
Column;Caption;Famiglie[Famiglia - Valida in data estrazione];Famiglia - Valida in data estrazione;Family - Valid On Draw Date;;;;;;;;;
Table;Caption;Classificazioni statistiche;Classificazioni statistiche;Statistical Classifications;;;;;;;;;
Column;Caption;Classificazioni statistiche[Classificazione statistica - Ditta];Classificazione statistica - Ditta;Statistical Classification - Company;;;;;;;;;
Column;Caption;Classificazioni statistiche[Classificazione statistica - Codice];Classificazione statistica - Codice;Statistical Classification - Code;;;;;;;;;
Column;Caption;Classificazioni statistiche[Classificazione statistica - Descrizione];Classificazione statistica - Descrizione;Statistical Classification - Description;;;;;;;;;
Column;Caption;Classificazioni statistiche[Classificazione statistica - Data inizio validità];Classificazione statistica - Data inizio validità;Statistical Classification - Effective Start Date;;;;;;;;;
Column;Caption;Classificazioni statistiche[Classificazione statistica - Data fine validità];Classificazione statistica - Data fine validità;Statistical Classification - End Date Of Validity;;;;;;;;;
Column;Caption;Classificazioni statistiche[Classificazione statistica - Valida in data estrazione];Classificazione statistica - Valida in data estrazione;Statistical Classification - Valid On Extract Date;;;;;;;;;
Table;Caption;Classi merceologiche;Classi merceologiche;Product Classes;;;;;;;;;
Column;Caption;Classi merceologiche[Classe merceologica - Ditta];Classe merceologica - Ditta;Product Class - Company;;;;;;;;;
Column;Caption;Classi merceologiche[Classe merceologica - Codice];Classe merceologica - Codice;Commodity Class - Code;;;;;;;;;
Column;Caption;Classi merceologiche[Classe merceologica - Descrizione];Classe merceologica - Descrizione;Product Class - Description;;;;;;;;;
Column;Caption;Classi merceologiche[Classe merceologica - Data inizio validità];Classe merceologica - Data inizio validità;Product Class - Validity Start Date;;;;;;;;;
Column;Caption;Classi merceologiche[Classe merceologica - Data fine validità];Classe merceologica - Data fine validità;Product Class - End Date Of Validity;;;;;;;;;
Column;Caption;Classi merceologiche[Classe merceologica - Valida in data estrazione];Classe merceologica - Valida in data estrazione;Commodity Class - Valid On Draw Date;;;;;;;;;
